log_q,log_p,log_y,share,log_hhsize,log_driver,log_hhr_age,total_wrkr,publictransit_d,cl5_smtown_d,cl5_suburban_d,cl5_secondcity_d,cl5_urban_d,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,state_fips,distance_oil1000
5.7579331,.30014709,10.221941,.015547409,1.0986123,0,3.713572,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
6.5447216,.30033162,11.258033,.01211901,1.3862944,.69314718,3.4011974,2,0,0,0,1,0,0,0,1,0,0,0,0,AZ,2.14095
5.6447344,.29990086,9.7699566,.021811433,1.6094379,.69314718,3.2188759,1,0,0,0,0,1,0,0,0,0,1,0,0,AZ,2.14095
7.3009315,.30030373,11.695247,.016672216,1.3862944,.69314718,3.713572,2,0,0,1,0,0,0,0,0,0,0,1,0,AZ,2.14095
7.9639049,.30038157,10.95954,.06752526,1.7917595,1.3862944,2.8903718,4,0,0,0,0,1,0,0,0,0,0,1,0,AZ,2.14095
6.8817348,.30019784,11.695247,.010962067,1.3862944,.69314718,3.6109178,1,0,0,1,0,0,0,0,0,1,0,0,0,AZ,2.14095
7.1485782,.30003768,10.95954,.02986929,1.7917595,.69314718,3.4657359,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
5.8162374,.30056995,10.657259,.010668583,1.0986123,.69314718,3.4965076,2,0,0,1,0,0,0,0,1,0,0,0,0,AZ,2.14095
7.3761549,.30033621,11.042922,.034512602,1.3862944,.69314718,3.2188759,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
6.9467645,.3002874,11.258033,.01811561,1.0986123,.69314718,3.7376697,2,0,0,1,0,0,0,0,1,0,0,0,0,AZ,2.14095
7.7879109,.30039862,10.768485,.068551138,1.0986123,.69314718,3.6635616,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
6.8843656,.30004641,10.221941,.047953211,1.3862944,1.0986123,3.713572,2,0,1,0,0,0,1,0,0,0,0,0,0,AZ,2.14095
6.9339862,.30020007,11.191341,.019117413,1.7917595,1.0986123,3.7612002,3,0,1,0,0,0,0,0,1,0,0,0,0,AZ,2.14095
6.4414988,.29987499,11.695247,.0070560258,1.0986123,.69314718,3.6109178,2,0,0,0,0,1,0,0,0,1,0,0,0,AZ,2.14095
7.0075603,.30004305,11.042922,.023865566,1.6094379,1.3862944,3.4965076,3,0,0,1,0,0,0,0,0,1,0,0,0,AZ,2.14095
6.7051253,.30036011,11.119883,.01633578,1.3862944,.69314718,3.6888795,2,0,0,0,0,1,0,0,0,1,0,0,0,AZ,2.14095
7.6456151,.30030796,11.191341,.03895225,1.6094379,1.0986123,3.7612002,2,0,0,1,0,0,0,0,0,1,0,0,0,AZ,2.14095
7.0152154,.30031103,11.191341,.020737419,1.0986123,.69314718,3.8501475,2,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.1265063,.30094129,11.695247,.014012584,1.6094379,.69314718,3.583519,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.088016,.29992753,11.695247,.013469823,1.3862944,.69314718,3.8286414,2,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
6.9565749,.30037698,10.388995,.043628544,1.3862944,.69314718,3.7841897,2,0,0,0,0,1,0,0,1,0,0,0,0,AZ,2.14095
6.6023388,.30011034,10.768485,.020941224,1.3862944,1.0986123,3.7376697,1,0,0,0,0,1,0,0,0,0,1,0,0,AZ,2.14095
7.8770747,.30037338,11.407565,.039552871,1.0986123,.69314718,4.0943446,2,0,0,1,0,0,0,0,0,1,0,0,0,AZ,2.14095
6.9615593,.30040303,10.021271,.06333556,1.6094379,0,3.7376697,4,0,1,0,0,0,0,0,1,0,0,0,0,AZ,2.14095
5.534071,.30007997,10.388995,.010516138,1.3862944,.69314718,3.2188759,2,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.3288522,.30048203,7.8240461,.82307178,1.6094379,.69314718,3.4011974,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.2901158,.30031404,11.119883,.029320955,1.6094379,.69314718,3.4657359,2,0,1,0,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.4977598,.30031607,11.407565,.02706567,1.3862944,.69314718,3.8286414,2,0,1,0,0,0,0,0,1,0,0,0,0,AZ,2.14095
6.5773263,.30006796,10.021271,.04311534,1.6094379,1.3862944,3.7841897,2,0,0,0,1,0,0,0,0,1,0,0,0,AZ,2.14095
7.1073647,.30038449,11.407565,.018319014,1.6094379,.69314718,3.4339871,2,0,0,1,0,0,1,0,0,0,0,0,0,AZ,2.14095
7.1707506,.30025551,11.407565,.019515252,1.3862944,.69314718,3.8066626,2,0,1,0,0,0,0,0,0,0,1,0,0,AZ,2.14095
6.460413,.30005702,10.532096,.023014603,1.6094379,1.0986123,4.0943446,2,0,1,0,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.1411591,.30028969,10.95954,.029655982,1.6094379,.69314718,3.4965076,2,0,0,1,0,0,1,0,0,0,0,0,0,AZ,2.14095
7.0433216,.30018461,11.119883,.022905542,1.3862944,.69314718,3.4657359,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.3107324,.30036947,11.191341,.027869008,1.3862944,.69314718,3.2958369,2,0,0,0,0,1,0,0,0,0,1,0,0,AZ,2.14095
8.8223801,.30035722,11.695247,.07634373,1.9459101,1.6094379,3.7612002,5,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
6.7000799,.30063492,11.191341,.015136791,1.3862944,.69314718,3.7612002,2,0,0,0,1,0,0,0,0,1,0,0,0,AZ,2.14095
8.174098,.30041099,11.695247,.039925579,1.6094379,1.3862944,4.0604429,4,0,0,1,0,0,0,0,0,1,0,0,0,AZ,2.14095
7.0254307,.30026504,11.695247,.012656917,1.7917595,.69314718,3.4965076,2,0,1,0,0,0,0,0,0,0,0,0,0,AZ,2.14095
7.3338881,.30013224,11.042922,.033077519,1.3862944,.69314718,3.4339871,2,0,0,0,1,0,0,0,0,0,0,0,0,AZ,2.14095
6.9864321,.30016652,11.695247,.012171617,1.0986123,.69314718,4.1271343,1,0,0,0,0,1,0,0,0,1,0,0,0,AZ,2.14095
7.5406456,.25062323,10.532096,.064516947,1.3862944,.69314718,3.4965076,2,0,1,0,0,0,1,0,0,0,0,0,0,AR,.78545296
7.383718,.2503494,11.695247,.017228682,1.0986123,.69314718,3.7376697,2,0,1,0,0,0,0,1,0,0,0,0,0,AR,.78545296
6.9601912,.25050086,10.532096,.036102112,1.6094379,1.0986123,3.7376697,2,0,1,0,0,0,1,0,0,0,0,0,0,AR,.78545296
6.8542304,.25031868,10.221941,.044272471,1.0986123,.69314718,3.5553482,2,0,1,0,0,0,0,0,0,1,0,0,0,AR,.78545296
6.8261423,.25035682,10.768485,.024922462,1.0986123,.69314718,3.583519,2,0,1,0,0,0,0,1,0,0,0,0,0,AR,.78545296
7.2931852,.25031674,11.695247,.015736928,1.3862944,1.0986123,3.7612002,1,0,1,0,0,0,1,0,0,0,0,0,0,AR,.78545296
7.2238493,.2503764,10.95954,.030644126,1.6094379,1.0986123,3.4657359,2,0,1,0,0,0,1,0,0,0,0,0,0,AR,.78545296
7.8818941,.25049093,11.258033,.043908458,1.6094379,1.6094379,3.8918202,2,0,0,0,1,0,0,0,0,1,0,0,0,AR,.78545296
7.082479,.25044081,9.7699566,.08741954,1.6094379,.69314718,3.583519,2,0,1,0,0,0,1,0,0,0,0,0,0,AR,.78545296
7.4543214,.25049019,10.95954,.038591299,1.3862944,.69314718,3.871201,2,0,1,0,0,0,0,1,0,0,0,0,0,AR,.78545296
7.2300005,.25058687,11.119883,.02627084,1.7917595,.69314718,3.583519,2,0,1,0,0,0,0,0,0,0,1,0,0,AR,.78545296
6.8724828,.25037,11.119883,.018370116,1.6094379,.69314718,3.6375861,1,0,0,0,1,0,0,0,0,1,0,0,0,AR,.78545296
7.7079964,.25046846,10.768485,.060203787,1.3862944,1.0986123,3.7376697,2,0,1,0,0,0,0,0,1,0,0,0,0,AR,.78545296
7.5928621,.25055856,11.042922,.040782541,1.3862944,.69314718,3.7841897,2,0,0,0,1,0,0,0,0,1,0,0,0,AR,.78545296
7.079699,.25038773,10.532096,.040680382,1.0986123,.69314718,3.583519,2,0,1,0,0,0,0,0,0,1,0,0,0,AR,.78545296
7.7825627,.25056747,10.768485,.064870991,1.3862944,.69314718,3.4657359,2,0,1,0,0,0,0,0,1,0,0,0,0,AR,.78545296
7.3014684,.25053072,11.119883,.028215498,1.6094379,0,3.4339871,2,0,1,0,0,0,0,0,1,0,0,0,0,AR,.78545296
7.6762495,.25060552,10.388995,.0852523,1.0986123,.69314718,3.4011974,2,0,0,0,1,0,0,0,1,0,0,0,0,AR,.78545296
6.8686194,.25051486,11.695247,.010294838,1.0986123,.69314718,3.8286414,2,0,1,0,0,0,1,0,0,0,0,0,0,AR,.78545296
7.522892,.25053677,10.532096,.063376173,1.0986123,.69314718,3.3672957,2,0,1,0,0,0,0,0,1,0,0,0,0,AR,.78545296
8.1073942,.25050494,11.695247,.035531066,1.3862944,1.0986123,3.713572,1,0,1,0,0,0,0,1,0,0,0,0,0,AR,.78545296
7.412251,.25052035,10.95954,.03700253,1.3862944,.69314718,3.4965076,2,0,1,0,0,0,0,0,1,0,0,0,0,AR,.78545296
6.9965954,.25029445,10.768485,.029552251,1.3862944,.69314718,3.3322046,2,0,1,0,0,0,1,0,0,0,0,0,0,AR,.78545296
7.6550632,.2504527,11.695247,.022601673,1.0986123,.69314718,3.5553482,2,0,1,0,0,0,0,1,0,0,0,0,0,AR,.78545296
6.7579813,.25028083,10.388995,.034022506,1.6094379,.69314718,3.583519,1,0,1,0,0,0,0,0,0,1,0,0,0,AR,.78545296
